Item No.,Time Period,Phase,Row Type,Type of Work,Contractor Name,Scheduled Original,Scheduled Change Orders,Scheduled Current,Work Completed From Previous Application,Work Completed This Period,Materials Presently Stored,Total Completed and Stored,% (G / C),Balance to Finish (C-G),Retainage (If Variable Rate)
069,2/28/26,FLTL,line_item,CCIP,,3077932.0,1476519.0,4554451.0,3077932,0.0,0.0,3077932,68,1476519.0,
070,2/28/26,FLTL,line_item,SDI,,1510985.0,723396.0,2234381.0,1510985,0.0,0.0,1510985,68,723396.0,
071,2/28/26,FLTL,line_item,FEE,,3417968.0,1649454.0,5067422.0,1183354,140000.0,0.0,1323354,26,3744068.0,
072,2/28/26,PTS,line_item,GENERAL REQUIREMENTS,,,,,0,0.0,0.0,0,0,,
073,2/28/26,PTS,line_item,UNCOMMITTED SUB COST,,8345252.0,0.0,8345252.0,0,0.0,0.0,0,0,8345252.0,
074,2/28/26,PTS,line_item,GENERAL CONDITIONS,,597237.0,0.0,597237.0,597237,0.0,0.0,597237,100,0.0,
075,2/28/26,PTS,line_item,BUILDER'S RISK,,27540.0,0.0,27540.0,0,0.0,0.0,0,0,27540.0,
076,2/28/26,PTS,line_item,BUSINESS LICENSE,,6571.0,0.0,6571.0,0,0.0,0.0,0,0,6571.0,
077,2/28/26,PTS,line_item,CCIP,,280501.0,0.0,280501.0,280501,0.0,0.0,280501,100,0.0,
078,2/28/26,PTS,line_item,SDI,,137701.0,0.0,137701.0,137701,0.0,0.0,137701,100,0.0,
079,2/28/26,PTS,line_item,FEE,,311490.0,0.0,311490.0,33695,0.0,0.0,33695,11,277795.0,
080,2/28/26,PKRD - PARKING & ROADWAYS,line_item,UNCOMMITTED SUB COST,,9732550.0,8635826.0,18368376.0,0,0.0,0.0,0,0,18368376.0,
081,2/28/26,PKRD - PARKING & ROADWAYS,line_item,ELECTRICAL,FEYEN ZYLSTRA,2348325.0,2198639.0,4546964.0,4231916,0.0,0.0,4231916,93,315048.0,211596.0
082,2/28/26,PKRD - PARKING & ROADWAYS,line_item,EARTHWORK & UTILITIES SITE SOUTH,LANDMARK,12295493.0,3594292.0,15889785.0,13404360,2485425.0,0.0,15889785,100,0.0,
083,2/28/26,PKRD - PARKING & ROADWAYS,line_item,SOI PP6,FEYEN ZYLSTRA,4157741.0,0.0,4157741.0,0,0.0,0.0,0,0,4157741.0,
084,2/28/26,PKRD - PARKING & ROADWAYS,line_item,SOL SITEWORK & UTILITIES,GULFSTREAM,43827037.0,0.0,43827037.0,7650000,0.0,0.0,7650000,17,36177037.0,
085,2/28/26,PKRD - PARKING & ROADWAYS,line_item,ALLOWANCE - GATE ARMS AND GUARD RAIL,,116012.0,0.0,116012.0,0,0.0,0.0,0,0,116012.0,
086,2/28/26,PKRD - PARKING & ROADWAYS,line_item,ALLOWANCE - SECURITY BUILDING REFRESH,,30000.0,0.0,30000.0,0,0.0,0.0,0,0,30000.0,
087,2/28/26,PKRD - PARKING & ROADWAYS,line_item,ALLOWANCE - TEMP BATCH PLANT,,1187905.0,0.0,1187905.0,0,0.0,0.0,0,0,1187905.0,
088,2/28/26,PKRD - PARKING & ROADWAYS,line_item,GENERAL CONDITIONS,,5018960.0,30150.0,5049110.0,4699035,319925.0,0.0,5018960,99,30150.0,
