Item No.,Time Period,Phases,Type of work,Contractor name,SCHEDULED ORIGINAL,SCHEDULED CHANGE ORDERS,SCHEDULED CURRENT,WORK COMPLETED FROM PREVIOUS APPLICATION,WORK COMPLETED THIS PERIOD,MATERIALS PRESENTLY STORED,TOTAL COMPLETED AND STORED,% (G / C),Balance to Finish (C-G),RETAINAGE (If Variable Rate),Source Page,Review Notes
119,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,CIC CONCRETE,WAYNE BROTHERS,41452021,311080,41763101,4855240,3227787,0,8083027,19%,33680074,404151,5,
120,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,SITEWORK & EXCAVATION,OL THOMPSON,26636786,231739,26868525,11205817,4211940,0,15417757,57%,11450768,770888,5,
121,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,PRECAST CONCRETE PANELS,FLORENCE CONCRETE,1440001,2195,1442196,116400,407751,0,524151,36%,918045,26208,5,
122,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,ROOFING,AAR OF NORTH CAROLINA,6534364,62430,6596794,0,0,0,0,0%,6596794,0,5,
123,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,TRANSLUCENT PANELS,CAROLINA ARCHITECTURAL PRODUCTS,1430310,4770,1435080,121576,0,0,121576,8%,1313504,6079,5,
124,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,MECHANICAL & PLUMBING,BELL CONSTRUCTORS,95619000,0,95619000,4063141,286857,0,4349998,5%,91269002,217500,5,
125,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,FIRE PROTECTION,SHAMBAUGH & SON,14347770,0,14347770,135000,45000,0,180000,1%,14167770,9000,5,
126,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,ELECTRICAL/FIRE ALARM SYSTEM,ELDECO,163284605,0,163284605,27676428,787914,0,28464342,17%,134820263,1423217,5,
127,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,STRUCTURAL STEEL TUNNEL LIDS,STEELFAB,23550950,0,23550950,251250,0,0,251250,1%,23299700,12563,5,
128,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,STRUCTURAL PAINTING,SOUTHERN PAINTING,7875000,0,7875000,0,0,0,0,0%,7875000,0,5,
129,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,GLASS AND GLAZING,GLASSCORP,6101008,0,6101008,1668334,51874,0,1720208,28%,4380800,86010,5,
130,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,TEMPORARY MATERIAL HOIST,MASTCLIMBERS,1303828,0,1303828,0,0,0,0,0%,1303828,0,5,
131,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,MASONRY,OLD NORTH STATE MASONRY,860750,0,860750,0,0,0,0,0%,860750,0,5,
132,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,DOORS AND HARDWARE,UNIFIED DOORS,1661164,0,1661164,0,0,0,0,0%,1661164,0,5,
133,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,OVERHEAD DOOR,MINER CORP,1347694,0,1347694,0,0,0,0,0%,1347694,0,5,
134,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,COMPRESSED AIR SYSTEM,ICON MECHANICAL,10279434,0,10279434,0,0,0,0,0%,10279434,0,5,
135,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,KITCHEN EQUIPMENT,INGER T&L,1327895,0,1327895,0,0,0,0,0%,1327895,0,5,
136,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,RESIDENTIAL EQUIPMENT,SINGER T&L,346800,0,346800,0,0,0,0,0%,346800,0,5,
137,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,"FRAMING, DRYWALL ACOUSTIC",ROCKSPRING,7796500,0,7796500,0,0,0,0,0%,7796500,0,5,
138,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,"FRAMING, DRYWALL ACOUSTIC",PRECISION,8023338,0,8023338,0,0,0,0,0%,8023338,0,5,
139,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,WIRE MESH PARTITION,CAROLINA MATERIAL HANDLING,443362,0,443362,0,0,0,0,0%,443362,0,5,
140,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,SPECIALTIES,LIGHT GAUGE,1510999,0,1510999,0,0,0,0,0%,1510999,0,5,
141,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,COASTAL MILLWORKS,,2816774,0,2816774,0,0,0,0,0%,2816774,0,5,
142,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,JOINT SEALANTS AND EXPANSION CONTROLS,ALPHA INSULATION,476480,0,476480,0,0,0,0,0%,476480,0,5,
143,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,WINDOW COVERINGS,PRECISION WALLS,358997,0,358997,0,0,0,0,0%,358997,0,5,
144,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,FABRIC AND SOUND PROOFING,WARCO,1174991,0,1174991,0,0,0,0,0%,1174991,0,5,
145,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,HIGH PERFORMANCE COATINGS,DAVID ALLEN COMPANY,1227984,0,1227984,0,0,0,0,0%,1227984,0,5,
146,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,DEMOLITION,DECO,0,40913,40913,0,0,0,0,0%,40913,0,5,
147,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,GENERAL REQUIREMENTS,,16025575,0,16025575,0,0,0,0,0%,16025575,0,5,
148,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,GENERAL CONDITIONS,,26279917,0,26279917,5519634,3037574,0,8557208,33%,17722709,0,6,
149,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,PERMIT,,2000000,186031,2186031,2000000,0,0,2000000,91%,186031,0,6,
150,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,BUILDERS RISK,,1694880,48572,1743452,0,0,0,0,0%,1743452,0,6,
151,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,BUSINESS LICENSE,,404409,26077,430486,0,0,0,0,0%,430486,0,6,
152,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,CCIP,,17262664,5444224,22706888,20750888,0,0,20750888,91%,1956000,0,6,
153,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,SDI,,8474398,2350880,10825278,10222060,0,0,10222060,94%,603218,0,6,
154,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,FEE,,19169747,6093773,25263520,5478605,705000,0,6183605,24%,19079915,0,6,
155,2/28/26,CUB,UNCOMMITTED SUB COST,,-12467236,15781945,3314709,0,0,0,0,0%,3314709,0,6,
156,2/28/26,CUB,GENERAL CONDITIONS,,1622349,0,1622349,0,0,0,0,0%,1622349,0,6,
157,2/28/26,CUB,SITE MEDIUM VOLTAGE,ELDECO,4141025,0,4141025,1151795,0,0,1151795,28%,2989230,57590,6,
158,2/28/26,CUB,PRECAST CONCRETE PANELS,FLORENCE CONCRETE,310457,0,310457,24627,0,0,24627,8%,285830,1231,6,
159,2/28/26,CUB,MECHANICAL & PLUMBING,GA LO MECHANICAL,19738000,4704,19742704,7899954,1033338,0,8933292,45%,10809412,446665,6,
160,2/28/26,CUB,METAL PANELS WALLS,STEEL CLAD,261600,0,261600,0,16500,0,16500,6%,245100,825,6,
161,2/28/26,CUB,ROOFING,AAR OF NORTH CAROLINA,221270,0,221270,0,0,0,0,0%,221270,0,6,
162,2/28/26,CUB,STRUCTURAL STEEL,C STEEL,873025,0,873025,0,0,0,0,0%,873025,0,6,
163,2/28/26,CUB,STRUCTURAL CONCRETE,ADVANCED CONCRETE,751078,0,751078,0,0,0,0,0%,751078,0,6,
164,2/28/26,CUB,ELECTRICAL,HW ELECTRICAL,4691760,0,4691760,1221772,15000,0,1236772,26%,3454988,61839,6,
165,2/28/26,CUB,FIRE PROTECTION,SHAMBAUGH,321910,0,321910,16000,1000,0,17000,5%,304910,850,6,
166,2/28/26,CUB,OVERHEAD DOOR,DOORS MINER LTD,177455,0,177455,0,0,0,0,0%,177455,0,6,
167,2/28/26,CUB,GLASS & GLAZING,GLASSCORP,15559,0,15559,0,0,0,0,0%,15559,0,6,
168,2/28/26,CUB,DOORS AND HARDWARE,UNIFIED DOORS,63702,0,63702,0,0,0,0,0%,63702,0,6,
169,2/28/26,CUB,PAINTING,VADERS BROTHERS,71395,0,71395,0,0,0,0,0%,71395,0,6,
170,2/28/26,CUB,DRYWALL AND FRAMING,PRECISION WALLS,119194,0,119194,0,0,0,0,0%,119194,0,6,
171,2/28/26,CUB,JOINT SEALANTS,SAVAGE BROTHERS,12793,0,12793,0,0,0,0,0%,12793,0,6,
