Item No.,Time Period,Phases,Type of work,Contractor name,SCHEDULED ORIGINAL,SCHEDULED CHANGE ORDERS,SCHEDULED CURRENT,WORK COMPLETED FROM PREVIOUS APPLICATION,WORK COMPLETED THIS PERIOD,MATERIALS PRESENTLY STORED,TOTAL COMPLETED AND STORED,% (G / C),Balance to Finish (C-G),RETAINAGE (If Variable Rate),Source Page,Review Notes
081,3/31/26,EARTHWORK & UTILITIES SP4(GULFSTREAM),BUILDER'S RISK,,302197,135036,437233,0,0,0,0,0%,437233,0,4,
082,3/31/26,EARTHWORK & UTILITIES SP4(GULFSTREAM),,,72106,244338,316444,0,0,0,0,0%,316444,0,4,
083,3/31/26,BUSINESS LICENSE/PERMITS,CCIP,,3077932,2063304,5141236,3077932,0,0,3077932,60%,2063304,0,4,
084,3/31/26,BUSINESS LICENSE/PERMITS,SDI,,1510985,1011455,2522440,1510985,0,0,1510985,60%,1011455,0,4,
085,3/31/26,BUSINESS LICENSE/PERMITS,FEE,,3417968,2301064,5719032,1323354,125000,0,1448354,25%,4270678,0,4,
086,3/31/26,BUSINESS LICENSE/PERMITS,GENERAL REQUIREMENTS,,0,0,0,0,0,0,0,0%,0,0,4,
087,3/31/26,BUSINESS LICENSE/PERMITS,UNCOMMITTED SUB COST,,8345252,0,8345252,0,0,0,0,0%,8345252,0,4,
088,3/31/26,BUSINESS LICENSE/PERMITS,,,597237,0,597237,597237,0,0,597237,100%,0,0,4,
089,3/31/26,GENERAL CONDITIONS,CCIP,,27540,0,27540,0,0,0,0,0%,27540,0,4,
090,3/31/26,GENERAL CONDITIONS,BUILDER'S RISK,,6571,0,6571,0,0,0,0,0%,6571,0,4,
091,3/31/26,GENERAL CONDITIONS,BUSINESS LICENSE,,280501,0,280501,280501,0,0,280501,100%,0,0,4,
092,3/31/26,GENERAL CONDITIONS,SDI,,137701,0,137701,137701,0,0,137701,100%,0,0,4,
093,3/31/26,GENERAL CONDITIONS,FEE,,311490,0,311490,33695,0,0,33695,11%,277795,0,4,
094,3/31/26,PKRD - PARKING & ROADWAYS,,,9732550,8635826,18368376,0,0,0,0,0%,18368376,0,4,
095,3/31/26,UNCOMMITTED SUB COST,ELECTRICAL(FEYEN ZYLSTRA)),ELECTRICAL(FEYEN ZYLSTRA)),2348325,2381631,4729956,4231916,0,0,4231916,89%,498040,211596,4,
096,3/31/26,UNCOMMITTED SUB COST,EARTHWORK & UTILITIES SITE SOUTH,LANDMARK,12295493,5101481,17396974,15889785,1363235,0,17253020,99%,143954,345060,4,
097,3/31/26,UNCOMMITTED SUB COST,SOI PP6,FEYEN ZYLSTRA,4157741,0,4157741,0,1607000,0,1607000,39%,2550741,32140,4,
098,3/31/26,UNCOMMITTED SUB COST,SOL SITEWORK & UTILITIES,GULFSTREAM,43827037,147472,43974509,7650000,4450364,0,12100364,28%,31874145,605018,4,
099,3/31/26,UNCOMMITTED SUB COST,ALLOWANCE - GATE ARMS AND GUARD RAIL - FENCING MANER,,0,116012,116012,0,67680,0,67680,58%,48332,0,4,
100,3/31/26,UNCOMMITTED SUB COST,ALLOWANCE - SECURITY BUILDING REFRESH,,0,1500,1500,0,0,0,0,0%,1500,0,4,
101,3/31/26,UNCOMMITTED SUB COST,,,0,1187905,1187905,0,0,0,0,0%,1187905,0,4,
