Item No.,Time Period,Phases,Type of work,Contractor name,SCHEDULED ORIGINAL,SCHEDULED CHANGE ORDERS,SCHEDULED CURRENT,WORK COMPLETED FROM PREVIOUS APPLICATION,WORK COMPLETED THIS PERIOD,MATERIALS PRESENTLY STORED,TOTAL COMPLETED AND STORED,% (G / C),Balance to Finish (C-G),RETAINAGE (If Variable Rate),Source Page,Review Notes
140,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,SPECIALTIES,LIGHT GAUGE,1510999.0,0.0,1510999.0,0.0,0.0,0.0,0.0,0,1510999.0,0.0,5,
141,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,COASTAL MILLWORKS,,2816774.0,0.0,2816774.0,0.0,0.0,0.0,0.0,0,2816774.0,0.0,5,
142,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,JOINT SEALANTS AND EXPANSION CONTROLS,ALPHA INSULATION,476480.0,0.0,476480.0,0.0,0.0,0.0,0.0,0,476480.0,0.0,5,
143,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,WINDOW COVERINGS,PRECISION WALLS,358997.0,0.0,358997.0,0.0,0.0,0.0,0.0,0,358997.0,0.0,5,
144,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,FABRIC AND SOUND PROOFING,WARCO,1174991.0,0.0,1174991.0,0.0,0.0,0.0,0.0,0,1174991.0,0.0,5,
145,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,HIGH PERFORMANCE COATINGS,DAVID ALLEN COMPANY,1227984.0,0.0,1227984.0,0.0,0.0,0.0,0.0,0,1227984.0,0.0,5,
146,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,DEMOLITION,DECO,0.0,40913.0,40913.0,0.0,0.0,0.0,0.0,0,40913.0,0.0,5,
147,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,GENERAL REQUIREMENTS,,16025575.0,0.0,16025575.0,0.0,0.0,0.0,0.0,0,16025575.0,0.0,5,
148,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,GENERAL CONDITIONS,,26279917.0,0.0,26279917.0,5519634.0,3037574.0,0.0,8557208.0,33,17722709.0,0.0,6,
149,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,PERMIT,,2000000.0,186031.0,2186031.0,2000000.0,0.0,0.0,2000000.0,91,186031.0,0.0,6,
150,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,BUILDERS RISK,,1694880.0,48572.0,1743452.0,0.0,0.0,0.0,0.0,0,1743452.0,0.0,6,
151,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,BUSINESS LICENSE,,404409.0,26077.0,430486.0,0.0,0.0,0.0,0.0,0,430486.0,0.0,6,
152,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,CCIP,,17262664.0,5444224.0,22706888.0,20750888.0,0.0,0.0,20750888.0,91,1956000.0,0.0,6,
153,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,SDI,,8474398.0,2350880.0,10825278.0,10222060.0,0.0,0.0,10222060.0,94,603218.0,47501.0,6,
154,2/28/26,8848 - 88-48 FINAL ASSEMBLY BLDG,FEE,,19169747.0,6093773.0,25263520.0,5478605.0,705000.0,0.0,6183605.0,24,19079915.0,0.0,6,
155,2/28/26,CUB,UNCOMMITTED SUB COST,,-12467236.0,15781945.0,3314709.0,0.0,0.0,0.0,0.0,0,3314709.0,0.0,6,
156,2/28/26,CUB,GENERAL CONDITIONS,,1622349.0,0.0,1622349.0,0.0,0.0,0.0,0.0,0,1622349.0,0.0,6,
157,2/28/26,CUB,SITE MEDIUM VOLTAGE,ELDECO,4141025.0,0.0,4141025.0,1151795.0,0.0,0.0,1151795.0,28,2989230.0,57590.0,6,
158,2/28/26,CUB,PRECAST CONCRETE PANELS,FLORENCE CONCRETE,310457.0,0.0,310457.0,24627.0,0.0,0.0,24627.0,8,285830.0,1231.0,6,
159,2/28/26,CUB,MECHANICAL & PLUMBING,GA LO MECHANICAL,19738000.0,4704.0,19742704.0,7899954.0,1033338.0,0.0,8933292.0,45,10809412.0,446665.0,6,
160,2/28/26,CUB,METAL PANELS WALLS,STEEL CLAD,261600.0,0.0,261600.0,0.0,16500.0,0.0,16500.0,6,245100.0,825.0,6,
161,2/28/26,CUB,ROOFING,AAR OF NORTH CAROLINA,221270.0,0.0,221270.0,0.0,0.0,0.0,0.0,0,221270.0,0.0,6,
162,2/28/26,CUB,STRUCTURAL STEEL,C STEEL,873025.0,0.0,873025.0,0.0,0.0,0.0,0.0,0,873025.0,0.0,6,
